PosX, PosY, Direction, Ghost1X, Ghost1Y, Ghost2X, Ghost2Y, Ghost3X, Ghost3Y, Ghost4X, Ghost4Y, CloseGhostDist, DotDistance, Score
24, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 2, None, 525
25, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 1, None, 524
1, 18, Stop, 5, 9, 11, 3, 17, 6, 25,13, 13, None, 0
1, 17, South, 5, 9, 11, 3, 17, 6, 25,13, 12, None, -1
1, 16, South, 5, 9, 11, 3, 17, 6, 25,13, 11, None, -2
1, 15, South, 5, 9, 11, 3, 17, 6, 25,13, 10, None, -3
1, 14, South, 5, 9, 11, 3, 17, 6, 25,13, 9, None, -4
1, 13, South, 5, 9, 11, 3, 17, 6, 25,13, 8, None, -5
1, 12, South, 5, 9, 11, 3, 17, 6, 25,13, 7, None, -6
1, 11, South, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -7
1, 10, South, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -8
1, 9, South, 5, 9, 11, 3, 17, 6, 25,13, 4, None, -9
1, 8, South, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -10
1, 7, South, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -11
1, 6, South, 5, 9, 11, 3, 17, 6, 25,13, 7, None, -12
2, 6, East, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -13
3, 6, East, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -14
3, 7, North, 5, 9, 11, 3, 17, 6, 25,13, 4, None, -15
3, 8, North, 5, 9, 11, 3, 17, 6, 25,13, 3, None, -16
3, 9, North, 5, 9, 11, 3, 17, 6, 25,13, 2, None, -17
4, 9, East, 5, 9, 11, 3, 17, 6, 25,13, 1, None, -18
5, 9, East, 1, 1, 11, 3, 17, 6, 25,13, 12, None, 181
5, 8, South, 1, 1, 11, 3, 17, 6, 25,13, 11, None, 180
5, 7, South, 1, 1, 11, 3, 17, 6, 25,13, 10, None, 179
5, 6, South, 1, 1, 11, 3, 17, 6, 25,13, 9, None, 178
5, 5, South, 1, 1, 11, 3, 17, 6, 25,13, 8, None, 177
5, 4, South, 1, 1, 11, 3, 17, 6, 25,13, 7, None, 176
5, 3, South, 1, 1, 11, 3, 17, 6, 25,13, 6, None, 175
6, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 5, None, 174
7, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 4, None, 173
8, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 3, None, 172
9, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 2, None, 171
10, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 1, None, 170
11, 3, East, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 369
11, 4, North, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 368
11, 5, North, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 367
11, 6, North, 1, 1, 3, 1, 17, 6, 25,13, 6, None, 366
11, 7, North, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 365
11, 8, North, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 364
11, 9, North, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 363
11, 10, North, 1, 1, 3, 1, 17, 6, 25,13, 10, None, 362
11, 11, North, 1, 1, 3, 1, 17, 6, 25,13, 11, None, 361
11, 12, North, 1, 1, 3, 1, 17, 6, 25,13, 12, None, 360
12, 12, East, 1, 1, 3, 1, 17, 6, 25,13, 11, None, 359
13, 12, East, 1, 1, 3, 1, 17, 6, 25,13, 10, None, 358
13, 11, South, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 357
13, 10, South, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 356
13, 9, South, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 355
13, 8, South, 1, 1, 3, 1, 17, 6, 25,13, 6, None, 354
13, 7, South, 1, 1, 3, 1, 17, 6, 25,13, 5, None, 353
13, 6, South, 1, 1, 3, 1, 17, 6, 25,13, 4, None, 352
14, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 3, None, 351
15, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 2, None, 350
16, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 1, None, 349
17, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 15, None, 548
18, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 14, None, 547
19, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 13, None, 546
20, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 12, None, 545
21, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 11, None, 544
22, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 10, None, 543
23, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 9, None, 542
23, 7, North, 1, 1, 3, 1, 5, 1, 25,13, 8, None, 541
23, 8, North, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 540
23, 9, North, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 539
23, 10, North, 1, 1, 3, 1, 5, 1, 25,13, 5, None, 538
22, 10, West, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 537
21, 10, West, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 536
20, 10, West, 1, 1, 3, 1, 5, 1, 25,13, 8, None, 535
20, 11, North, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 534
20, 12, North, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 533
20, 13, North, 1, 1, 3, 1, 5, 1, 25,13, 5, None, 532
20, 14, North, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 531
20, 15, North, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 530
21, 15, East, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 529
22, 15, East, 1, 1, 3, 1, 5, 1, 25,13, 5, None, 528
22, 14, South, 1, 1, 3, 1, 5, 1, 25,13, 4, None, 527
23, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 3, None, 526
24, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 2, None, 525
25, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 1, None, 524
1, 18, Stop, 5, 9, 11, 3, 17, 6, 25,13, 13, None, 0
1, 17, South, 5, 9, 11, 3, 17, 6, 25,13, 12, None, -1
1, 16, South, 5, 9, 11, 3, 17, 6, 25,13, 11, None, -2
1, 15, South, 5, 9, 11, 3, 17, 6, 25,13, 10, None, -3
1, 14, South, 5, 9, 11, 3, 17, 6, 25,13, 9, None, -4
1, 13, South, 5, 9, 11, 3, 17, 6, 25,13, 8, None, -5
1, 12, South, 5, 9, 11, 3, 17, 6, 25,13, 7, None, -6
1, 11, South, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -7
1, 10, South, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -8
1, 9, South, 5, 9, 11, 3, 17, 6, 25,13, 4, None, -9
1, 8, South, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -10
1, 7, South, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -11
1, 6, South, 5, 9, 11, 3, 17, 6, 25,13, 7, None, -12
2, 6, East, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -13
3, 6, East, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -14
3, 7, North, 5, 9, 11, 3, 17, 6, 25,13, 4, None, -15
3, 8, North, 5, 9, 11, 3, 17, 6, 25,13, 3, None, -16
3, 9, North, 5, 9, 11, 3, 17, 6, 25,13, 2, None, -17
4, 9, East, 5, 9, 11, 3, 17, 6, 25,13, 1, None, -18
5, 9, East, 1, 1, 11, 3, 17, 6, 25,13, 12, None, 181
5, 8, South, 1, 1, 11, 3, 17, 6, 25,13, 11, None, 180
5, 7, South, 1, 1, 11, 3, 17, 6, 25,13, 10, None, 179
5, 6, South, 1, 1, 11, 3, 17, 6, 25,13, 9, None, 178
5, 5, South, 1, 1, 11, 3, 17, 6, 25,13, 8, None, 177
5, 4, South, 1, 1, 11, 3, 17, 6, 25,13, 7, None, 176
5, 3, South, 1, 1, 11, 3, 17, 6, 25,13, 6, None, 175
6, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 5, None, 174
7, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 4, None, 173
8, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 3, None, 172
9, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 2, None, 171
10, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 1, None, 170
11, 3, East, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 369
11, 4, North, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 368
11, 5, North, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 367
11, 6, North, 1, 1, 3, 1, 17, 6, 25,13, 6, None, 366
11, 7, North, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 365
11, 8, North, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 364
11, 9, North, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 363
11, 10, North, 1, 1, 3, 1, 17, 6, 25,13, 10, None, 362
11, 11, North, 1, 1, 3, 1, 17, 6, 25,13, 11, None, 361
11, 12, North, 1, 1, 3, 1, 17, 6, 25,13, 12, None, 360
12, 12, East, 1, 1, 3, 1, 17, 6, 25,13, 11, None, 359
13, 12, East, 1, 1, 3, 1, 17, 6, 25,13, 10, None, 358
13, 11, South, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 357
13, 10, South, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 356
13, 9, South, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 355
13, 8, South, 1, 1, 3, 1, 17, 6, 25,13, 6, None, 354
13, 7, South, 1, 1, 3, 1, 17, 6, 25,13, 5, None, 353
13, 6, South, 1, 1, 3, 1, 17, 6, 25,13, 4, None, 352
14, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 3, None, 351
15, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 2, None, 350
16, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 1, None, 349
17, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 15, None, 548
18, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 14, None, 547
19, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 13, None, 546
20, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 12, None, 545
21, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 11, None, 544
22, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 10, None, 543
23, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 9, None, 542
23, 7, North, 1, 1, 3, 1, 5, 1, 25,13, 8, None, 541
23, 8, North, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 540
23, 9, North, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 539
23, 10, North, 1, 1, 3, 1, 5, 1, 25,13, 5, None, 538
22, 10, West, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 537
21, 10, West, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 536
20, 10, West, 1, 1, 3, 1, 5, 1, 25,13, 8, None, 535
20, 11, North, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 534
20, 12, North, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 533
20, 13, North, 1, 1, 3, 1, 5, 1, 25,13, 5, None, 532
20, 14, North, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 531
20, 15, North, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 530
21, 15, East, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 529
22, 15, East, 1, 1, 3, 1, 5, 1, 25,13, 5, None, 528
22, 14, South, 1, 1, 3, 1, 5, 1, 25,13, 4, None, 527
23, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 3, None, 526
24, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 2, None, 525
25, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 1, None, 524
1, 18, Stop, 5, 9, 11, 3, 17, 6, 25,13, 13, None, 0
1, 17, South, 5, 9, 11, 3, 17, 6, 25,13, 12, None, -1
1, 16, South, 5, 9, 11, 3, 17, 6, 25,13, 11, None, -2
1, 15, South, 5, 9, 11, 3, 17, 6, 25,13, 10, None, -3
1, 14, South, 5, 9, 11, 3, 17, 6, 25,13, 9, None, -4
1, 13, South, 5, 9, 11, 3, 17, 6, 25,13, 8, None, -5
1, 12, South, 5, 9, 11, 3, 17, 6, 25,13, 7, None, -6
1, 11, South, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -7
1, 10, South, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -8
1, 9, South, 5, 9, 11, 3, 17, 6, 25,13, 4, None, -9
1, 8, South, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -10
1, 7, South, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -11
1, 6, South, 5, 9, 11, 3, 17, 6, 25,13, 7, None, -12
2, 6, East, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -13
3, 6, East, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -14
3, 7, North, 5, 9, 11, 3, 17, 6, 25,13, 4, None, -15
3, 8, North, 5, 9, 11, 3, 17, 6, 25,13, 3, None, -16
3, 9, North, 5, 9, 11, 3, 17, 6, 25,13, 2, None, -17
4, 9, East, 5, 9, 11, 3, 17, 6, 25,13, 1, None, -18
5, 9, East, 1, 1, 11, 3, 17, 6, 25,13, 12, None, 181
5, 8, South, 1, 1, 11, 3, 17, 6, 25,13, 11, None, 180
5, 7, South, 1, 1, 11, 3, 17, 6, 25,13, 10, None, 179
5, 6, South, 1, 1, 11, 3, 17, 6, 25,13, 9, None, 178
5, 5, South, 1, 1, 11, 3, 17, 6, 25,13, 8, None, 177
5, 4, South, 1, 1, 11, 3, 17, 6, 25,13, 7, None, 176
5, 3, South, 1, 1, 11, 3, 17, 6, 25,13, 6, None, 175
6, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 5, None, 174
7, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 4, None, 173
8, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 3, None, 172
9, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 2, None, 171
10, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 1, None, 170
11, 3, East, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 369
11, 4, North, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 368
11, 5, North, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 367
11, 6, North, 1, 1, 3, 1, 17, 6, 25,13, 6, None, 366
11, 7, North, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 365
11, 8, North, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 364
11, 9, North, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 363
11, 10, North, 1, 1, 3, 1, 17, 6, 25,13, 10, None, 362
11, 11, North, 1, 1, 3, 1, 17, 6, 25,13, 11, None, 361
11, 12, North, 1, 1, 3, 1, 17, 6, 25,13, 12, None, 360
12, 12, East, 1, 1, 3, 1, 17, 6, 25,13, 11, None, 359
13, 12, East, 1, 1, 3, 1, 17, 6, 25,13, 10, None, 358
13, 11, South, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 357
13, 10, South, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 356
13, 9, South, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 355
13, 8, South, 1, 1, 3, 1, 17, 6, 25,13, 6, None, 354
13, 7, South, 1, 1, 3, 1, 17, 6, 25,13, 5, None, 353
13, 6, South, 1, 1, 3, 1, 17, 6, 25,13, 4, None, 352
14, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 3, None, 351
15, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 2, None, 350
16, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 1, None, 349
17, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 15, None, 548
18, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 14, None, 547
19, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 13, None, 546
20, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 12, None, 545
21, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 11, None, 544
22, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 10, None, 543
23, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 9, None, 542
23, 7, North, 1, 1, 3, 1, 5, 1, 25,13, 8, None, 541
23, 8, North, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 540
23, 9, North, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 539
23, 10, North, 1, 1, 3, 1, 5, 1, 25,13, 5, None, 538
22, 10, West, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 537
21, 10, West, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 536
20, 10, West, 1, 1, 3, 1, 5, 1, 25,13, 8, None, 535
20, 11, North, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 534
20, 12, North, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 533
20, 13, North, 1, 1, 3, 1, 5, 1, 25,13, 5, None, 532
20, 14, North, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 531
20, 15, North, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 530
21, 15, East, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 529
22, 15, East, 1, 1, 3, 1, 5, 1, 25,13, 5, None, 528
22, 14, South, 1, 1, 3, 1, 5, 1, 25,13, 4, None, 527
23, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 3, None, 526
24, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 2, None, 525
25, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 1, None, 524
1, 18, Stop, 5, 9, 11, 3, 17, 6, 25,13, 13, None, 0
1, 17, South, 5, 9, 11, 3, 17, 6, 25,13, 12, None, -1
1, 16, South, 5, 9, 11, 3, 17, 6, 25,13, 11, None, -2
1, 15, South, 5, 9, 11, 3, 17, 6, 25,13, 10, None, -3
1, 14, South, 5, 9, 11, 3, 17, 6, 25,13, 9, None, -4
1, 13, South, 5, 9, 11, 3, 17, 6, 25,13, 8, None, -5
1, 12, South, 5, 9, 11, 3, 17, 6, 25,13, 7, None, -6
1, 11, South, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -7
1, 10, South, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -8
1, 9, South, 5, 9, 11, 3, 17, 6, 25,13, 4, None, -9
1, 8, South, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -10
1, 7, South, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -11
1, 6, South, 5, 9, 11, 3, 17, 6, 25,13, 7, None, -12
2, 6, East, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -13
3, 6, East, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -14
3, 7, North, 5, 9, 11, 3, 17, 6, 25,13, 4, None, -15
3, 8, North, 5, 9, 11, 3, 17, 6, 25,13, 3, None, -16
3, 9, North, 5, 9, 11, 3, 17, 6, 25,13, 2, None, -17
4, 9, East, 5, 9, 11, 3, 17, 6, 25,13, 1, None, -18
5, 9, East, 1, 1, 11, 3, 17, 6, 25,13, 12, None, 181
5, 8, South, 1, 1, 11, 3, 17, 6, 25,13, 11, None, 180
5, 7, South, 1, 1, 11, 3, 17, 6, 25,13, 10, None, 179
5, 6, South, 1, 1, 11, 3, 17, 6, 25,13, 9, None, 178
5, 5, South, 1, 1, 11, 3, 17, 6, 25,13, 8, None, 177
5, 4, South, 1, 1, 11, 3, 17, 6, 25,13, 7, None, 176
5, 3, South, 1, 1, 11, 3, 17, 6, 25,13, 6, None, 175
6, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 5, None, 174
7, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 4, None, 173
8, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 3, None, 172
9, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 2, None, 171
10, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 1, None, 170
11, 3, East, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 369
11, 4, North, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 368
11, 5, North, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 367
11, 6, North, 1, 1, 3, 1, 17, 6, 25,13, 6, None, 366
11, 7, North, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 365
11, 8, North, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 364
11, 9, North, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 363
11, 10, North, 1, 1, 3, 1, 17, 6, 25,13, 10, None, 362
11, 11, North, 1, 1, 3, 1, 17, 6, 25,13, 11, None, 361
11, 12, North, 1, 1, 3, 1, 17, 6, 25,13, 12, None, 360
12, 12, East, 1, 1, 3, 1, 17, 6, 25,13, 11, None, 359
13, 12, East, 1, 1, 3, 1, 17, 6, 25,13, 10, None, 358
13, 11, South, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 357
13, 10, South, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 356
13, 9, South, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 355
13, 8, South, 1, 1, 3, 1, 17, 6, 25,13, 6, None, 354
13, 7, South, 1, 1, 3, 1, 17, 6, 25,13, 5, None, 353
13, 6, South, 1, 1, 3, 1, 17, 6, 25,13, 4, None, 352
14, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 3, None, 351
15, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 2, None, 350
16, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 1, None, 349
17, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 15, None, 548
18, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 14, None, 547
19, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 13, None, 546
20, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 12, None, 545
21, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 11, None, 544
22, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 10, None, 543
23, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 9, None, 542
23, 7, North, 1, 1, 3, 1, 5, 1, 25,13, 8, None, 541
23, 8, North, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 540
23, 9, North, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 539
23, 10, North, 1, 1, 3, 1, 5, 1, 25,13, 5, None, 538
22, 10, West, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 537
21, 10, West, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 536
20, 10, West, 1, 1, 3, 1, 5, 1, 25,13, 8, None, 535
20, 11, North, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 534
20, 12, North, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 533
20, 13, North, 1, 1, 3, 1, 5, 1, 25,13, 5, None, 532
20, 14, North, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 531
20, 15, North, 1, 1, 3, 1, 5, 1, 25,13, 7, None, 530
21, 15, East, 1, 1, 3, 1, 5, 1, 25,13, 6, None, 529
22, 15, East, 1, 1, 3, 1, 5, 1, 25,13, 5, None, 528
22, 14, South, 1, 1, 3, 1, 5, 1, 25,13, 4, None, 527
23, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 3, None, 526
24, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 2, None, 525
25, 14, East, 1, 1, 3, 1, 5, 1, 25,13, 1, None, 524
1, 18, Stop, 5, 9, 11, 3, 17, 6, 25,13, 13, None, 0
1, 17, South, 5, 9, 11, 3, 17, 6, 25,13, 12, None, -1
1, 16, South, 5, 9, 11, 3, 17, 6, 25,13, 11, None, -2
1, 15, South, 5, 9, 11, 3, 17, 6, 25,13, 10, None, -3
1, 14, South, 5, 9, 11, 3, 17, 6, 25,13, 9, None, -4
1, 13, South, 5, 9, 11, 3, 17, 6, 25,13, 8, None, -5
1, 12, South, 5, 9, 11, 3, 17, 6, 25,13, 7, None, -6
1, 11, South, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -7
1, 10, South, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -8
1, 9, South, 5, 9, 11, 3, 17, 6, 25,13, 4, None, -9
1, 8, South, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -10
1, 7, South, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -11
1, 6, South, 5, 9, 11, 3, 17, 6, 25,13, 7, None, -12
2, 6, East, 5, 9, 11, 3, 17, 6, 25,13, 6, None, -13
3, 6, East, 5, 9, 11, 3, 17, 6, 25,13, 5, None, -14
3, 7, North, 5, 9, 11, 3, 17, 6, 25,13, 4, None, -15
3, 8, North, 5, 9, 11, 3, 17, 6, 25,13, 3, None, -16
3, 9, North, 5, 9, 11, 3, 17, 6, 25,13, 2, None, -17
4, 9, East, 5, 9, 11, 3, 17, 6, 25,13, 1, None, -18
5, 9, East, 1, 1, 11, 3, 17, 6, 25,13, 12, None, 181
5, 8, South, 1, 1, 11, 3, 17, 6, 25,13, 11, None, 180
5, 7, South, 1, 1, 11, 3, 17, 6, 25,13, 10, None, 179
5, 6, South, 1, 1, 11, 3, 17, 6, 25,13, 9, None, 178
5, 5, South, 1, 1, 11, 3, 17, 6, 25,13, 8, None, 177
5, 4, South, 1, 1, 11, 3, 17, 6, 25,13, 7, None, 176
5, 3, South, 1, 1, 11, 3, 17, 6, 25,13, 6, None, 175
6, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 5, None, 174
7, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 4, None, 173
8, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 3, None, 172
9, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 2, None, 171
10, 3, East, 1, 1, 11, 3, 17, 6, 25,13, 1, None, 170
11, 3, East, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 369
11, 4, North, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 368
11, 5, North, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 367
11, 6, North, 1, 1, 3, 1, 17, 6, 25,13, 6, None, 366
11, 7, North, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 365
11, 8, North, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 364
11, 9, North, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 363
11, 10, North, 1, 1, 3, 1, 17, 6, 25,13, 10, None, 362
11, 11, North, 1, 1, 3, 1, 17, 6, 25,13, 11, None, 361
11, 12, North, 1, 1, 3, 1, 17, 6, 25,13, 12, None, 360
12, 12, East, 1, 1, 3, 1, 17, 6, 25,13, 11, None, 359
13, 12, East, 1, 1, 3, 1, 17, 6, 25,13, 10, None, 358
13, 11, South, 1, 1, 3, 1, 17, 6, 25,13, 9, None, 357
13, 10, South, 1, 1, 3, 1, 17, 6, 25,13, 8, None, 356
13, 9, South, 1, 1, 3, 1, 17, 6, 25,13, 7, None, 355
13, 8, South, 1, 1, 3, 1, 17, 6, 25,13, 6, None, 354
13, 7, South, 1, 1, 3, 1, 17, 6, 25,13, 5, None, 353
13, 6, South, 1, 1, 3, 1, 17, 6, 25,13, 4, None, 352
14, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 3, None, 351
15, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 2, None, 350
16, 6, East, 1, 1, 3, 1, 17, 6, 25,13, 1, None, 349
17, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 15, None, 548
18, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 14, None, 547
19, 6, East, 1, 1, 3, 1, 5, 1, 25,13, 13, None, 546
